"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"381","Justin Smith","Indiana","B10",75.5,105.2,18.2,51.2,7.4,12.1,6,16.5,1.2,1.9,40.3,"Jr","7-Jun","Arkansas",2.01989
"382","Tykei Greene","Manhattan","MAAC",63.4,88,21.9,43.3,5.9,13.1,7.7,19.3,0.9,1.6,39.6,"So","4-Jun","Stony Brook",-1.52989
"383","Desmond Cambridge Jr.","Brown","Ivy",68.4,93.2,28.1,44.7,2.1,12.4,7.7,11.9,7,1.9,21.8,"So","4-Jun","Nevada",1.0029
"384","Zach Scott","Florida Gulf Coast","ASun",68.3,91.4,23.1,42.5,3.4,13.8,8.2,15.2,1.1,3,18.8,"So","4-Jun","McNeese St.",0.141747
"385","Kyle Sturdivant","USC","P12",14,78.4,21.5,38,2.6,11.9,26.7,33.1,0.6,1.6,19.6,"Fr","3-Jun","Georgia Tech",0.144872
"386","Mark Tikhonenko","Sam Houston St.","Slnd",25.9,110.1,14.3,59.6,5.6,15.8,8.1,18.8,0.9,1.3,11.8,"So","10-Jun","Chattanooga",-0.969386
"387","Matt Haarms","Purdue","B10",47.1,110.4,22.1,55.1,10.3,16.1,9.6,16.5,12.6,0.6,38.4,"Jr","3-Jul","BYU",4.13667
"388","Julian Rishwain","Boston College","ACC",34.7,85.4,18.3,48.7,1.7,13.5,11.6,24.6,1,2.2,20.2,"Fr","5-Jun","San Francisco",0.741373
"389","Tyree Appleby","Cleveland St.","Horz",71,107.1,31,51.8,1.3,12.3,37.4,20.6,1,2.4,50.8,"So","1-Jun","Florida",-0.864365
"390","Curtis Holland III","High Point","BSth",29.7,96.3,21.9,43.4,1.9,7.2,9.5,15.9,1.9,1.7,38.8,"So","2-Jun","Towson",-2.68666
"391","Rio Haskett","Harvard","Ivy",43,101.8,18.7,51.7,2.6,6.5,9.5,19,0.4,2.6,19.9,"Jr","3-Jun","Hampton",0.940378
"392","Travis Atson","Quinnipiac","MAAC",44.6,89.5,19.6,41.8,5.3,15.8,9.8,20.9,0.8,2,27,"Jr","5-Jun","St. Francis NY",-1.05425
"393","James Bishop","LSU","SEC",11,90.3,21,46.7,0.9,3.1,11.4,21.6,0.8,1.7,26.1,"Fr","2-Jun","George Washington",-1.79756
"394","Skyelar Potter","Wright St.","Horz",8.4,81.5,20.1,42.9,1,19.2,6.8,21.2,0,1.1,22.9,"So","3-Jun","Morehead St.",-0.769096
"395","Jair Bolden","South Carolina","SEC",51.6,109.4,17.5,52.2,1,11.4,12.2,11.2,0.6,2.1,13.5,"Jr","3-Jun","Butler",1.63256
"396","Cartier Diarra","Kansas St.","B12",77.6,95.8,27,48.3,2.4,12.6,32.6,22.5,1.3,3.5,32.3,"Jr","4-Jun","Virginia Tech",2.43402
"397","Jacob Grandison","Holy Cross","Pat",85.5,102.5,23.4,51.6,2.8,15.6,17.5,14.3,1.3,1.9,16.5,"So","6-Jun","Illinois",-1.24525
"398","D.J. Carton","Ohio St.","B10",38.5,103.5,25.2,55.7,2.6,10.7,26.5,25.9,2,1.6,36.2,"Fr","2-Jun","Marquette",1.88709
"399","Justin Kier","George Mason","A10",15.8,108.3,20.3,54.3,0,18,13.5,17.3,1.1,1.8,18.8,"Sr","4-Jun","Georgia",0.436679
